angle_deg,start_heading_deg,end_heading_deg,max_rate_rps,shape,planned_duration_s,total_duration_s,converged,horizontal_mm,vertical_mm,slide_mm,ekf_heading_error_deg,truth_heading_error_deg,wall_height_m,repetition
30.0,89.1775560576802,119.55696580076754,0.3,trapezoid,1.9453292519943293,2.95,True,-0.20689584644562053,-11.895825939918225,11.897625001827372,-0.3876879467912989,-0.3750446045505192,1.9711622001276787,1
-30.0,119.55696580076754,89.04611549647262,0.3,trapezoid,1.9453292519943293,2.95,True,-0.12912409364984612,-11.930878179853721,11.931576893859022,0.5502603822352592,0.523493646535714,1.959231321947825,2
45.0,89.04611549647262,134.36556905538438,0.3,trapezoid,2.817993877991494,3.8200000000000003,True,-0.31077581213945216,-18.10488411521316,18.10755119917403,-0.3626621856097106,-0.3462202946112876,1.9411264378326119,1
-45.0,90.45022471848485,45.05076423537752,0.3,trapezoid,2.817993877991494,3.8200000000000003,True,0.3116317786413525,-18.15920259281434,18.16187636705894,0.34685975277489167,0.30701323343354303,1.989484039297451,2
90.0,45.05076423537752,135.41354408148288,0.3,trapezoid,5.435987755982989,6.44,True,-0.23717792108679525,-36.079836483412954,36.080616042912396,-0.7207116308171124,-0.4026263654467022,1.9534042028140381,1
-90.0,135.41354408148288,45.37404679241673,0.3,trapezoid,5.435987755982989,6.44,True,0.24268742487110195,-35.94714069817506,35.947959908186505,0.5088973719741928,0.3575825544365597,1.917457062115863,2
135.0,89.64249624759883,-135.27219384764905,0.3,trapezoid,8.053981633974482,9.06,True,-0.19915927333247208,-57.449070519870695,57.449415732566244,-0.06041737251918997,-0.18453779786809898,1.946620997832648,1
-135.0,90.34012053934849,-44.85616593464805,0.3,trapezoid,8.053981633974482,9.06,True,0.17254247994824556,-57.498022959012516,57.498281844786604,0.1766321152491846,0.19551211105311458,1.9460785289663478,2
180.0,89.68080085016531,-89.84700399884086,0.3,trapezoid,10.671975511965977,11.680000000000001,True,0.12008777709660023,-75.58698882741987,75.58708422125241,-0.5210197907182244,-0.5014074774092212,1.9245053506138685,1
-180.0,89.80574872912335,-90.67615201459849,0.3,trapezoid,10.671975511965977,11.680000000000001,True,-0.12503707434396993,-75.57978280184096,75.57988623068584,0.37612601022877984,0.46525345829285863,1.9283650759673159,2
30.0,90.23545067896839,120.95551388620783,0.6,trapezoid,1.2726646259971646,2.2800000000000002,True,-0.2189946616363292,-12.072598946107016,12.074585043609964,-0.768232969842223,-0.7943202844254124,1.9959711299326022,1
-30.0,120.95551388620783,89.87746886991448,0.6,trapezoid,1.2726646259971646,2.3000000000000003,True,-0.12920954526207673,-12.187459488865127,12.188144399346253,0.9512698169190167,1.0519577017101576,1.983783670443737,2
45.0,89.87746886991448,135.6655030960507,0.6,trapezoid,1.7089969389957471,2.71,True,-0.3057928132456089,-18.355152563258592,18.357699607116658,-0.6473333775711005,-0.6873463413450897,1.9654285178804785,1
-45.0,135.6655030960507,89.51122840894439,0.6,trapezoid,1.7089969389957471,2.71,True,-0.05622087336332182,-18.403472913127494,18.403558787658955,1.1217386074400002,1.1142617233323289,1.947025044967351,2
90.0,89.75740527363114,-179.92378253761447,0.6,trapezoid,3.0179938779914943,4.0200000000000005,True,-0.29564066935638955,-37.91447868303543,37.91563130440697,-0.4313677178322846,-0.28734294778185554,1.966897003620909,1
-90.0,-179.92378253761447,89.02596195475104,0.6,trapezoid,3.0179938779914943,4.12,True,-0.7322150041634279,-36.10761434183263,36.115037758125624,1.212557648874119,1.1942802776849355,1.9307893892790764,2
135.0,89.55565185631396,-134.98654134619605,0.6,trapezoid,4.326990816987241,5.33,True,-0.03455878552083291,-57.630847405830906,57.630857767552136,-0.38290284852793416,-0.41451256942805537,1.948272174280473,1
-135.0,90.35329569368486,-45.19759997901625,0.6,trapezoid,4.326990816987241,5.33,True,0.026947098396346014,-57.660595704745134,57.66060200147224,0.3856679512714753,0.4074616263728525,1.9445812500108863,2
180.0,89.67676939240974,-89.3188402983311,0.6,trapezoid,5.635987755982988,6.640000000000001,True,0.30735490179945035,-75.78591624190368,75.78653948862224,-0.9303700583430714,-1.0273804315281148,1.9255335394015274,1
-180.0,89.794875095647,-91.14864749779476,0.6,trapezoid,5.635987755982988,6.640000000000001,True,-0.31265588298645675,-75.76588966599229,75.76653476687768,0.8470374406266916,0.9071021591710864,1.929440161913041,2
