angle_deg,start_heading_deg,end_heading_deg,max_rate_rps,shape,planned_duration_s,total_duration_s,converged,horizontal_mm,vertical_mm,slide_mm,ekf_heading_error_deg,truth_heading_error_deg,wall_height_m,repetition
30.0,90.46529777351407,120.98897154587647,0.3,trapezoid,1.9453292519943293,2.95,True,-0.34490214134841324,-13.197912947647605,13.202418856436537,-0.5566628174433383,-0.5233071517394708,1.9752225313964495,1
-30.0,120.98897154587647,90.3965277886928,0.3,trapezoid,1.9453292519943293,2.95,True,-0.2896633334215082,-13.205475189229432,13.208651703337589,0.389652609214015,0.625799422887559,1.9620170562072201,2
45.0,90.3965277886928,136.1021502161276,0.3,trapezoid,2.817993877991494,3.8200000000000003,True,-0.5361861583175198,-20.22030558076926,20.22741341289241,-0.4680945939212261,-0.4694756137612871,1.9417967506264509,1
-45.0,90.56825349645524,45.22376803305105,0.3,trapezoid,2.817993877991494,3.8200000000000003,True,0.527289442763923,-19.998632312967946,20.005582434554007,0.6033199820721535,0.48463155753255877,1.9680603365002294,2
75.0,45.22376803305105,120.64366494751195,0.3,trapezoid,4.563323129985824,5.57,True,0.043892578235116275,-32.91829671706603,32.91832597978251,-0.5261463469405483,-0.5385853390004841,1.9351420397831633,1
-75.0,90.54988542567176,15.226784706295765,0.3,trapezoid,4.563323129985824,5.57,True,-0.07757908803984748,-34.72465807819791,34.724744738624885,0.39696358279737076,0.3762286665893499,1.95375943933628,2
90.0,15.226784706295765,105.80874557222148,0.3,trapezoid,5.435987755982989,6.44,True,-0.2903012006703065,-40.64899569338465,40.65003229602548,-0.647413433075035,-0.6026957821337467,1.9131104436428954,1
-90.0,90.41879212071447,0.06650570726929725,0.3,trapezoid,5.435987755982989,6.44,True,-0.3778556118758658,-42.213192578139044,42.214883660890024,0.1765601211361066,0.2118588512854437,1.9479498125908878,2
112.0,89.61994714912976,-158.0467242872881,0.3,trapezoid,6.715895874112165,7.720000000000001,True,-0.10413849285662025,-53.16260708000664,53.16270907665322,-0.24304073175134466,-0.27823457838797644,1.9378685875813537,1
-112.0,90.34942136271313,-21.80761904297401,0.3,trapezoid,6.715895874112165,7.720000000000001,True,0.12155300410299219,-53.07748566400639,53.0776248483823,0.18382442152385897,0.2743909628445806,1.9351331529438864,2
135.0,89.62571208256445,-135.01331506710804,0.3,trapezoid,8.053981633974482,9.06,True,-0.4006021579918695,-64.40621066695095,64.40745651370388,-0.45045202948409024,-0.39123391938289676,1.9269117488204843,1
-135.0,90.28859075223153,-45.13885985366291,0.3,trapezoid,8.053981633974482,9.06,True,0.40496928951316846,-64.4416270342556,64.44289949208952,0.17486349721654038,0.38615624342389754,1.924836258028816,2
30.0,89.77072656881657,120.53460380895542,0.6,trapezoid,1.2726646259971646,2.2800000000000002,True,-0.33653200445815656,-13.298526968666735,13.302784420052108,-0.9006695431831374,-0.7003293877243585,1.976676138954517,1
-30.0,120.53460380895542,89.86514580989348,0.6,trapezoid,1.2726646259971646,2.2800000000000002,True,-0.28189951866774976,-13.238921390135605,13.241922326943893,0.9680561504172992,0.8697981545207348,1.9634372175643815,2
45.0,89.86514580989348,135.55844993813437,0.6,trapezoid,1.7089969389957471,2.71,True,-0.5296620189128021,-20.196196975695635,20.2031411947592,-0.8438451314615982,-0.7915621241374512,1.9432410205886859,1
-45.0,90.54604584511979,44.75096395705198,0.6,trapezoid,1.7089969389957471,2.71,True,0.5274600103462035,-20.2226376323007,20.229515240604727,0.9165459863163571,0.7559836427467225,1.9666160083490993,2
75.0,44.75096395705198,120.55175852998312,0.6,trapezoid,2.581661564992912,3.5900000000000003,True,0.04074690879551923,-33.13380481868356,33.133829873306134,-0.9662510705711916,-0.9613569165007585,1.9334822035304158,1
-75.0,90.4549957471286,14.832809177320783,0.6,trapezoid,2.581661564992912,3.5900000000000003,True,-0.1099017328050067,-34.89676101918704,34.89693407766828,0.6677914259305724,0.701201573008863,1.954784984354529,2
90.0,14.832809177320783,105.94771375838936,0.6,trapezoid,3.0179938779914943,4.0200000000000005,True,-0.5254646804671026,-41.013415653450295,41.01678164718802,-0.9941372285270893,-1.0814944339902746,1.9137715687010788,1
-90.0,90.40756182382904,-0.02211630675439386,0.6,trapezoid,3.0179938779914943,4.0200000000000005,True,-0.46076103069658814,-42.271006327422086,42.27351743894003,0.5463566827985246,0.4966857132433113,1.948466250183079,2
112.0,89.62081336362513,-157.78178372526628,0.6,trapezoid,3.6579479370560817,4.66,True,0.007147224531323104,-53.307420375408924,53.30742085454314,-0.4978333568342051,-0.47801597514320365,1.93531627902385,1
-112.0,90.33613605028714,-22.117753830788782,0.6,trapezoid,3.6579479370560817,4.66,True,-0.029546476246089526,-53.2380553139733,53.23806351294099,0.5241390798298659,0.4774776944073233,1.9380306068044306,2
135.0,89.6468615942561,-134.82347853561208,0.6,trapezoid,4.326990816987241,5.33,True,-0.24236873822491845,-64.49206623568315,64.49252165912736,-0.6486781275520878,-0.6284026320221853,1.9237858557411145,1
-135.0,90.29813134222408,-45.34370072486929,0.6,trapezoid,4.326990816987241,5.33,True,0.23697636159702995,-64.54773761429111,64.54817262261828,0.9166435905080563,0.658361184647673,1.924401305821998,2
