manoeuvre,category,heading_deg,contact,mean_n,min_n,max_n,samples,zero_samples,contact_ratio_percent
static_heading_345,static,345.000,right_wheel,180.350,180.350,180.350,2000,0,100.000
static_heading_345,static,345.000,caster,118.560,118.560,118.560,2001,0,100.000
drive_right,dynamic,0.000,left_wheel,91.978,90.167,92.822,4998,0,100.000
drive_right,dynamic,0.000,right_wheel,174.412,172.188,175.217,4998,0,100.000
drive_right,dynamic,0.000,caster,133.610,132.369,136.724,4999,0,100.000
brake_from_right,brake,0.000,left_wheel,92.112,91.830,93.733,2000,0,100.000
brake_from_right,brake,0.000,right_wheel,174.653,174.397,176.857,2000,0,100.000
brake_from_right,brake,0.000,caster,133.235,129.605,133.667,1999,0,100.000
drive_left,dynamic,180.000,left_wheel,174.277,171.420,174.812,4998,0,100.000
drive_left,dynamic,180.000,right_wheel,91.850,88.914,92.375,4998,0,100.000
drive_left,dynamic,180.000,caster,133.873,133.584,138.544,4999,0,100.000
brake_from_left,brake,180.000,left_wheel,174.658,174.387,176.927,2000,0,100.000
brake_from_left,brake,180.000,right_wheel,92.118,91.649,93.754,2000,0,100.000
brake_from_left,brake,180.000,caster,133.224,129.594,133.656,1999,0,100.000
drive_up,dynamic,90.000,left_wheel,106.575,104.811,107.410,4998,0,100.000
drive_up,dynamic,90.000,right_wheel,106.388,103.677,106.970,4998,0,100.000
drive_up,dynamic,90.000,caster,187.037,186.853,191.088,4999,0,100.000
brake_from_up,brake,90.000,left_wheel,106.769,106.513,108.495,2000,0,100.000
brake_from_up,brake,90.000,right_wheel,106.771,106.233,108.496,2000,0,100.000
brake_from_up,brake,90.000,caster,186.459,183.011,186.917,1999,0,100.000
drive_down,dynamic,270.000,left_wheel,159.923,157.025,160.526,4998,0,100.000
drive_down,dynamic,270.000,right_wheel,160.104,158.222,160.924,4998,0,100.000
drive_down,dynamic,270.000,caster,79.973,79.782,84.023,4999,0,100.000
brake_from_down,brake,270.000,left_wheel,160.328,159.691,162.200,2000,0,100.000
brake_from_down,brake,270.000,right_wheel,160.324,160.000,162.192,2000,0,100.000
brake_from_down,brake,270.000,caster,79.347,75.610,79.801,2000,0,100.000
turn_in_place_ccw,turn,,left_wheel,133.434,84.194,182.520,10600,0,100.000
turn_in_place_ccw,turn,,right_wheel,133.289,84.202,182.511,10600,0,100.000
turn_in_place_ccw,turn,,caster,133.277,79.749,186.826,10600,0,100.000
turn_in_place_cw,turn,,left_wheel,131.036,84.202,182.511,10880,0,100.000
turn_in_place_cw,turn,,right_wheel,135.553,84.194,182.520,10880,0,100.000
turn_in_place_cw,turn,,caster,133.410,79.749,186.826,10880,0,100.000
