phase,time_s,forward_m,up_m,truth_yaw_rad,filtered_yaw_rad,state,segment
compensated,82.05,3.600931807316959,1.625224157698979,0.010429318270484317,0.012863709722720442,0,-1
compensated,82.06,3.600931807316959,1.625224157698979,0.010429318270484317,0.011077122813913489,0,-1
compensated,82.07,3.600931807316959,1.625224157698979,0.010429318270484317,0.011077122813913489,1,0
compensated,82.08,3.600931807316959,1.625224157698979,0.010429318270484317,0.011447710550078314,1,0
compensated,82.09,3.600931807316959,1.625224157698979,0.010429318270484317,0.011447710550078314,1,0
compensated,82.1,3.600931807316959,1.625224157698979,0.010429318270484317,0.00701282542305126,1,0
compensated,82.11,3.600931809103632,1.6252228867510843,0.010504622541393083,0.00701282542305126,1,0
compensated,82.12,3.600931823779841,1.6252185950428795,0.010711956537174857,0.011944516323069363,1,0
compensated,82.13,3.600931843550814,1.6252127360819604,0.011004319912341643,0.011944516323069363,1,0
compensated,82.14,3.600931875494834,1.6252037545123805,0.011431817894386213,0.011662680971061155,1,0
compensated,82.15,3.600931913261055,1.6251932138402816,0.011945526008024931,0.011662680971061155,1,0
compensated,82.16,3.60093196571776,1.6251795029540046,0.012594702438812123,0.010576305855225955,1,0
compensated,82.17,3.6009320253637354,1.6251642784431861,0.013329765315884786,0.010576305855225955,1,0
compensated,82.18,3.6009321033567163,1.6251458423639351,0.014200609476770659,0.015277732041327761,1,0
compensated,82.19,3.6009321906754668,1.6251259320057323,0.015157036853897129,0.015277732041327761,1,0
compensated,82.2,3.6009323011625174,1.6251027750390892,0.01624953787394084,0.013891869990517502,1,0
compensated,82.21,3.600932423859521,1.6250781770036977,0.017427339058475894,0.013891869990517502,1,0
compensated,82.22,3.6009325757207726,1.6250503036289914,0.018741485877350954,0.016189415767273282,1,0
compensated,82.23,3.600932743416669,1.6250210163356955,0.02014066957504672,0.016189415767273282,1,0
compensated,82.24,3.6009329474419265,1.624988431219367,0.021676450878696008,0.01829562585741007,1,0
compensated,82.25,3.6009331716735926,1.624954453413526,0.0232970249972644,0.01829562585741007,1,0
compensated,82.26,3.6009334405485682,1.6249171614447637,0.025054429123183525,0.022615489558571508,1,0
compensated,82.27,3.6009337347936228,1.624878491271268,0.02689640056214101,0.022615489558571508,1,0
compensated,82.28,3.600934083084679,1.6248364976187861,0.028875415374261255,0.02610774376444125,1,0
compensated,82.29,3.6009344627459168,1.6247931336573307,0.03093878978080956,0.02610774376444125,1,0
compensated,82.3,3.600934906943554,1.6247464419542115,0.033139402421217025,0.03017571029934318,1,0
compensated,82.31,3.600935389306117,1.6246983845082505,0.0354241840176354,0.03017571029934318,1,0
compensated,82.32,3.60093594776757,1.624646998913409,0.0378463807508573,0.03486765683905358,1,0
compensated,82.33,3.600936552009304,1.6245942490813379,0.04035257203413482,0.03486765683905358,1,0
compensated,82.34,3.6009372448915014,1.6245381755140704,0.04299633811490686,0.04107806663839542,1,0
compensated,82.35,3.6009379920635016,1.6244807353549746,0.045723939476207225,0.04107806663839542,1,0
compensated,82.36,3.6009388413320824,1.6244199803836252,0.048589258863102266,0.04800299072253367,1,0
compensated,82.37,3.6009397543358395,1.6243578530161866,0.05153826831204584,0.04800299072253367,1,0
compensated,82.38,3.600940783735502,1.6242924239785446,0.05462512340158766,0.04807541378000568,1,0
compensated,82.39,3.6009418872922296,1.6242256137217936,0.057795536219911514,0.04807541378000568,1,0
compensated,82.4,3.6009431223115684,1.6241555188564587,0.06110390755455862,0.05874206899672574,1,0
compensated,82.41,3.6009444429234816,1.6240840313824296,0.06449571592736567,0.05874206899672574,1,0
compensated,82.42,3.6009459107712445,1.6240092797039785,0.06802558182049101,0.06582084750636243,1,0
compensated,82.43,3.6009474766761884,1.6239331221666766,0.07163877450135375,0.06582084750636243,1,0
compensated,82.44,3.6009492066428948,1.6238537181883796,0.07539010939059529,0.0718099350611463,1,0
