time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,heading_error_rad,command_linear_mps,command_angular_rps,scored_line_sample
43.68,0,1,1,-1.7060986021943947e-05,1.9992340299314983,6.37293208017301e-05,-0.00010235870855173119,2.00123208249489,-0.0004450925177805764,0.0,2.0,0.0,6.51,nan,1.5711390606041253,0.0,0.0,0
43.69,0,1,1,-1.7060986021943947e-05,1.9992340299314983,6.37293208017301e-05,-0.00010235870855173119,2.00123208249489,-0.0004450925177805764,0.0,2.0,0.0,6.51,nan,1.5711390606041253,0.0,0.0,0
43.7,0,1,1,-1.7060986021943947e-05,1.9992340299314983,6.37293208017301e-05,-0.00010228054110709853,2.001280836157626,0.002502795895451548,0.0,2.0,0.0,6.51,nan,1.568191250358338,0.0,0.014504223173535752,0
43.71,0,1,1,-1.7060986021943947e-05,1.9992340299314983,6.37293208017301e-05,-0.00010228054110709853,2.001280836157626,0.002502795895451548,0.0,2.0,0.0,6.51,nan,1.568191250358338,0.0,0.014504223173535752,0
43.72,0,1,1,-1.7060986021943947e-05,1.9992340299314983,6.37293208017301e-05,-0.00031631697980724497,2.000131414018709,0.0004948950478453896,0.0,2.0,0.0,6.51,nan,1.568191250358338,0.0,0.014504223173535752,0
43.73,0,1,1,-1.7061013292463123e-05,1.9992327483589498,0.00013948603223844268,-0.00031631697980724497,2.000131414018709,0.0004948950478453896,0.0,2.0,0.0,6.51,nan,1.569985114767244,0.0,0.034504223173535756,0
43.74,0,1,1,-1.7060906182364555e-05,1.9992292973485604,0.0003004853845312815,-0.0003163133977102602,2.0001538276616673,-0.003236339926151909,0.0,2.0,0.0,6.51,nan,1.5737163533233383,0.0,0.05450422317353576,0
43.75,0,1,1,-1.706062572925937e-05,1.9992246444630901,0.0005358036358859068,-0.0003163133977102602,2.0001538276616673,-0.003236339926151909,0.0,2.0,0.0,6.51,nan,1.5737163533233383,0.0,0.05450422317353576,0
43.76,0,1,1,-1.7059629614735172e-05,1.9992168819120497,0.0009061674247092507,-0.0003162508864458109,2.0001764079857423,0.0005948258767998205,0.0,2.0,0.0,6.51,nan,1.569885250031651,0.0,0.07450422317353576,0
43.77,0,1,1,-1.705758362902099e-05,1.9992075476348694,0.0013628283508065441,-0.0003162508864458109,2.0001764079857423,0.0005948258767998205,0.0,2.0,0.0,6.51,nan,1.569885250031651,0.0,0.07450422317353576,0
43.78,0,1,1,-1.7053078561257706e-05,1.9991950543053998,0.0019548739833033456,-0.00031628429125600847,2.000199177033547,-0.0006551649926329618,0.0,2.0,0.0,6.51,nan,1.5711352074962734,0.0,0.09450422317353577,0
43.79,0,1,1,-1.7045895083445117e-05,1.9991810363911413,0.0026328879199677226,-0.00031628429125600847,2.000199177033547,-0.0006551649926329618,0.0,2.0,0.0,6.51,nan,1.5711352074962734,0.0,0.09450422317353577,0
43.8,0,1,1,-1.7033315317660502e-05,1.999163816179283,0.003446605011686167,-0.00023173404364425167,1.998066743193233,0.005151682482640752,0.0,2.0,0.0,6.51,nan,1.5654129102686116,0.0,0.11450422317353577,0
43.81,0,1,1,-1.7015713475010408e-05,1.9991451124379702,0.004345982160828447,-0.00023173404364425167,1.998066743193233,0.005151682482640752,0.0,2.0,0.0,6.51,nan,1.5654129102686116,0.0,0.11450422317353577,0
43.82,0,1,1,-1.6988552956065384e-05,1.9991231693610505,0.005381360292528472,-0.00023164312409751993,1.9980411018621973,0.0057621576771143,0.0,2.0,0.0,6.51,nan,1.5648025259936846,0.0,0.11450422317353577,0
43.83,0,1,1,-1.695333778528596e-05,1.9990997777132804,0.006502110593275245,-0.00023164312409751993,1.9980411018621973,0.0057621576771143,0.0,2.0,0.0,6.51,nan,1.5648025259936846,0.0,0.13450422317353578,0
43.84,0,1,1,-1.69031612042847e-05,1.9990731158990698,0.00775913927777276,-0.00023149797038747594,1.9980152434564538,0.00852302390561288,0.0,2.0,0.0,6.51,nan,1.5620418049188962,0.0,0.15450422317353577,0
43.85,0,1,1,-1.6841219327434764e-05,1.9990450344429675,0.00910127224335927,-0.00023149797038747594,1.9980152434564538,0.00852302390561288,0.0,2.0,0.0,6.51,nan,1.5620418049188962,0.0,0.15450422317353577,0
43.86,0,1,1,-1.6757673560463537e-05,1.9990136581396296,0.010579940866907046,-0.00023127119673850146,1.997989230856241,0.008008637513652772,0.0,2.0,0.0,6.51,nan,1.5625564180845053,0.0,0.15450422317353577,0
43.87,0,1,1,-1.665797014971382e-05,1.9989808852252853,0.012143465395842991,-0.00023127119673850146,1.997989230856241,0.008008637513652772,0.0,2.0,0.0,6.51,nan,1.5625564180845053,0.0,0.17450422317353576,0
