phase,time_s,forward_m,up_m,truth_yaw_rad,filtered_yaw_rad,state,segment
open_loop_1,26.43,-1.7060325788964548e-05,1.999234780230099,3.1726284812831726e-05,0.001992854604708771,0,-1
open_loop_1,26.44,-1.706038411042332e-05,1.9992346864427748,3.572666431655632e-05,0.002983521877188533,0,-1
open_loop_1,26.45,9.284317232793882e-07,1.9992326698151266,3.032809243836433e-06,0.002983521877188533,0,-1
open_loop_1,26.46,5.866983869018405e-05,1.9992264774567348,-3.674859788724712e-05,-0.00415405166615601,0,-1
open_loop_1,26.47,0.00015654530159658897,1.999216053133887,-1.1153129817663675e-05,-0.00415405166615601,0,-1
open_loop_1,26.48,0.00029455777025078067,1.999200901376224,6.117688263482284e-05,-0.0010412881108590177,0,-1
open_loop_1,26.49,0.0004724065941611455,1.9991813655314885,0.00010050149256005583,-0.0010412881108590177,0,-1
open_loop_1,26.5,0.0006901392717783006,1.999157636700996,0.0001331609566428933,0.0010502284243130158,0,-1
open_loop_1,26.51,0.0009477266167801091,1.9991293379164414,0.00014322679384059971,0.0010502284243130158,0,-1
open_loop_1,26.52,0.0012452221447761813,1.9990967895563514,0.00015133684643682345,0.003047169878295009,0,-1
open_loop_1,26.53,0.00158257143487317,1.9990594925934635,0.00013792056587523923,0.003047169878295009,0,-1
open_loop_1,26.54,0.001959831656898059,1.9990178995494234,0.0001228821294086048,0.0008232063636679499,0,-1
open_loop_1,26.55,0.0023771246060810824,1.9989722620248473,0.00013800447282066335,0.0008232063636679499,0,-1
open_loop_1,26.56,0.002834390845574797,1.998922055551406,0.0001623493906068566,-0.001969804996644342,0,-1
open_loop_1,26.57,0.003331704205261632,1.9988677279872482,0.00022245345507389817,-0.001969804996644342,0,-1
open_loop_1,26.58,0.003869008594680645,1.9988086591208127,0.0002946134936360539,0.001362694782605977,0,-1
open_loop_1,26.59,0.004446134284460057,1.9987445945074216,0.0003326858261267145,0.001362694782605977,0,-1
open_loop_1,26.6,0.005063136891893638,1.9986768008346416,0.00036191724027845583,0.0025229566078199812,0,-1
open_loop_1,26.61,0.005720030056722836,1.9986043322116955,0.00037959912045949844,0.0025229566078199812,0,-1
open_loop_1,26.62,0.00641684948139809,1.998527661291699,0.00039807256205014765,0.0007193721367135807,0,-1
open_loop_1,26.63,0.007153685734288762,1.9984470201524651,0.0004417935621781468,0.0007193721367135807,0,-1
open_loop_1,26.64,0.007930491291553654,1.9983616723819062,0.0004934188635674762,-0.0009095555985680904,0,-1
open_loop_1,26.65,0.008747306941433552,1.9982723430930862,0.0005682210068744768,-0.0009095555985680904,0,-1
open_loop_1,26.66,0.00960409273222429,1.9981782915638546,0.0006504147178179518,0.00017325700814874168,0,-1
open_loop_1,26.67,0.010500779199220212,1.9980795593792766,0.000722124900126034,0.00017325700814874168,0,-1
open_loop_1,26.68,0.011437396501196906,1.9979768082654183,0.0007947253209179605,0.0014502177579580615,0,-1
open_loop_1,26.69,0.012413906820974652,1.9978693183615766,0.0008547018300856046,0.0014502177579580615,0,-1
open_loop_1,26.7,0.013430344512140535,1.997757890580459,0.0009148248022729812,-0.0008950068558903902,0,-1
open_loop_1,26.71,0.014486818915815936,1.9976428515486642,0.0010053734782684341,-0.0008950068558903902,0,-1
open_loop_1,26.72,0.01558328397040143,1.997522883674035,0.0011066461828823852,-0.001271899396054543,0,-1
open_loop_1,26.73,0.016719715264958968,1.9973987332202348,0.001215919361152063,-0.001271899396054543,0,-1
open_loop_1,26.74,0.017896103815848052,1.9972701931479293,0.0013292335442143526,0.002638537004779451,0,-1
open_loop_1,26.75,0.019112312247576813,1.9971359179677608,0.0014050568026499485,0.002638537004779451,0,-1
open_loop_1,26.76,0.02036838308449651,1.9969986157538453,0.0014669738704547368,0.004495487613258574,0,-1
open_loop_1,26.77,0.02166432665783835,1.9968564594929605,0.0015100189248249646,0.004495487613258574,0,-1
open_loop_1,26.78,0.02300018852453778,1.9967106012600684,0.0015507919609475639,-0.001010798949241831,0,-1
open_loop_1,26.79,0.024376161316694178,1.9965621891926129,0.0016449602077875302,-0.001010798949241831,0,-1
open_loop_1,26.8,0.025792235107034323,1.9964083399298622,0.0017735484554905084,0.004158655312714198,0,-1
open_loop_1,26.81,0.027248111392553898,1.9962478487311728,0.001857219294927803,0.004158655312714198,0,-1
open_loop_1,26.82,0.028740594947202824,1.9960847474752512,0.0019159639661620988,0.0008946209679030481,0,-1
open_loop_1,26.83,0.03024068974330374,1.9959216154949848,0.002010597515287002,0.0008946209679030481,0,-1
open_loop_1,26.84,0.03174086607457116,1.9957573022954842,0.0021186893554167186,0.0032660343431181187,0,-1
open_loop_1,26.85,0.03324096436924184,1.9955918032519384,0.002200023190392529,0.0032660343431181187,0,-1
open_loop_1,26.86,0.034741026794961605,1.9954273050054814,0.0022731332312064152,0.002734788312461322,0,-1
open_loop_1,26.87,0.036241119635845975,1.9952633311155963,0.0023527672673868214,0.002734788312461322,0,-1
open_loop_1,26.88,0.03774122875836139,1.9950992731878705,0.0024336672100374467,0.005986759679875052,0,-1
open_loop_1,26.89,0.03924122709580802,1.9949338616877144,0.002479738301548383,0.005986759679875052,0,-1
open_loop_1,26.9,0.04074116356082058,1.9947696953306624,0.002512520472511474,0.0028092612621146706,0,-1
open_loop_1,26.91,0.042241220948468605,1.9946071601197688,0.0025794270037038346,0.0028092612621146706,0,-1
open_loop_1,26.92,0.043741349962406084,1.9944436617403785,0.002659125134975148,0.002908132541732388,0,-1
open_loop_1,26.93,0.04524148386017268,1.9942800065588375,0.0027376973616865872,0.002908132541732388,0,-1
open_loop_1,26.94,0.046741624848085084,1.9941164900346924,0.0028160416467089794,0.006004581573383127,0,-1
open_loop_1,26.95,0.04824165912328848,1.9939517111797627,0.002860786809487075,0.006004581573383127,0,-1
open_loop_1,26.96,0.04974163585408775,1.9937881370285295,0.0028932966053794246,0.0032727369601950325,0,-1
open_loop_1,26.97,0.051241720083647135,1.9936260104859893,0.00295598224258499,0.0032727369601950325,0,-1
