time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,scored_line_sample
23.03,-1,0,0,-1.7060274381086593e-05,1.9992348740174208,2.7725905289805173e-05,-0.0012632338947396197,1.998715132912161,-0.0033452041632311426,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.04,-1,0,0,-1.7060274381086593e-05,1.9992348740174208,2.7725905289805173e-05,-0.0012632467013868086,1.9986950315511438,-0.0010734722190903767,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.05,-1,0,6,-1.7060274381086593e-05,1.9992348740174208,2.7725905289805173e-05,-0.0012632467013868086,1.9986950315511438,-0.0010734722190903767,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.06,-1,0,6,-1.7060274381086593e-05,1.9992348740174208,2.7725905289805173e-05,-0.00035473875915585846,1.9983099674483549,-0.0012442380288995025,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.07,-1,0,6,-1.7060274381086593e-05,1.9992348740174208,2.7725905289805173e-05,-0.00035473875915585846,1.9983099674483549,-0.0012442380288995025,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.08,-1,0,6,-1.7060274381086593e-05,1.9992348740174208,2.7725905289805173e-05,-0.0003547639126309897,1.9982812364227944,-0.001442417195367529,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.09,-1,0,6,-1.7060340433916465e-05,1.99923349189673,-3.120729935607907e-05,-0.0003547639126309897,1.9982812364227944,-0.001442417195367529,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.1,-1,0,6,-1.7060701830162728e-05,1.9992290718012697,-0.00020322020640461085,-0.0003548519728350687,1.9982523004287562,-0.001060192402654092,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.11,-1,0,6,-1.706177663485242e-05,1.999222842753601,-0.00044637866990863604,-0.0003548519728350687,1.9982523004287562,-0.001060192402654092,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.12,-1,0,6,-1.70645194246255e-05,1.9992135705669833,-0.0008004204989156986,-0.0003548573850822092,1.9982232258739414,4.1139507712895096e-05,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.13,-1,0,6,-1.7069591985552357e-05,1.9992024418035685,-0.0012254286740896116,-0.0003548573850822092,1.9982232258739414,4.1139507712895096e-05,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.14,-1,0,6,-1.707863958755329e-05,1.9991883146383298,-0.0017614956716639658,0.0010624472250847124,1.9980237871595417,-0.0003917711052063843,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.15,-1,0,6,-1.70926127454063e-05,1.9991722891301793,-0.0023683573742124264,0.0010624472250847124,1.9980237871595417,-0.0003917711052063843,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.16,-1,0,6,-1.7113794546497196e-05,1.9991533041581142,-0.00308644582903081,0.0010623958010969794,1.9979902729719923,-0.0012337662146872928,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.17,-1,0,6,-1.7143507868855323e-05,1.9991323849356517,-0.0038751649141885083,0.0010623958010969794,1.9979902729719923,-0.0012337662146872928,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.18,-1,0,6,-1.718456510535482e-05,1.9991085394491224,-0.0047752712012633786,0.0010623724682590667,1.9979565084795985,-0.005816207085449942,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.19,-1,0,6,-1.7238787767603903e-05,1.9990827296400513,-0.005745851588090578,0.0010623724682590667,1.9979565084795985,-0.005816207085449942,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.2,-1,0,6,-1.730937857657988e-05,1.9990540211343126,-0.006827972228344733,0.0010622552903338809,1.9979224908169344,-0.0043787274053825875,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.21,-1,0,6,-1.7398801691159704e-05,1.9990233240115858,-0.00798041793048722,0.0010622552903338809,1.9979224908169344,-0.0043787274053825875,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.22,-1,0,6,-1.751050478571159e-05,1.998989750285093,-0.009244549663201684,-0.00028408201996329524,1.9985226243039442,-0.008381757448990614,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.23,-1,0,6,-1.764773288037702e-05,1.998954169328371,-0.010578864828851632,-0.00028408201996329524,1.9985226243039442,-0.008381757448990614,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
23.24,-1,0,6,-1.781404924838803e-05,1.9989157285986898,-0.012025004695123872,-0.00028425252544503755,1.9985023137065059,-0.011122938237383638,-0.0012632338947396197,1.998715132912161,-0.35,0.995,nan,0
