start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
-179.713,30.0,30.074,0.292,-13.189,13.193,0.4398,1.9133
179.708,-30.0,-30.97,-0.979,-11.726,11.767,0.3922,1.9509
-165.286,30.0,30.188,0.086,-13.11,13.11,0.437,1.9435
-165.291,-30.0,-30.96,-0.036,-12.004,12.004,0.4001,1.9451
-150.287,30.0,30.277,-0.034,-12.871,12.871,0.429,1.9374
-150.292,-30.0,-30.957,0.845,-11.843,11.873,0.3958,1.938
-135.293,30.0,30.357,0.256,-12.322,12.325,0.4108,1.93
-135.289,-30.0,-30.886,0.305,-12.316,12.32,0.4107,1.9321
-120.288,30.0,30.428,0.214,-11.905,11.906,0.3969,1.924
-120.291,-30.0,-30.737,-0.219,-12.673,12.675,0.4225,1.9248
-105.29,30.0,30.512,0.008,-11.762,11.762,0.3921,1.9196
-105.291,-30.0,-30.639,0.026,-12.375,12.375,0.4125,1.9177
-90.29,30.0,30.581,-0.142,-11.944,11.945,0.3982,1.9146
-89.709,-30.0,-30.581,0.142,-11.944,11.945,0.3982,1.9138
-74.709,30.0,30.639,-0.026,-12.374,12.375,0.4125,1.9178
-74.709,-30.0,-30.512,-0.008,-11.762,11.762,0.3921,1.9178
-59.709,30.0,30.737,0.219,-12.673,12.675,0.4225,1.9244
-59.71,-30.0,-30.436,-0.214,-11.901,11.902,0.3967,1.925
-44.712,30.0,30.886,-0.305,-12.316,12.32,0.4107,1.9295
-44.714,-30.0,-30.351,-0.256,-12.326,12.328,0.4109,1.9302
-29.706,30.0,30.957,-0.845,-11.842,11.873,0.3958,1.9391
-29.711,-30.0,-30.277,0.034,-12.871,12.871,0.429,1.9371
-14.708,30.0,30.96,0.036,-12.004,12.004,0.4001,1.9441
-14.713,-30.0,-30.188,-0.086,-13.11,13.11,0.437,1.9427
0.29,30.0,30.944,0.978,-11.738,11.779,0.3926,1.9512
0.293,-30.0,-30.069,-0.296,-13.19,13.193,0.4398,1.9503
15.289,30.0,30.737,0.413,-12.167,12.174,0.4058,1.9569
15.292,-30.0,-29.943,0.004,-13.155,13.155,0.4385,1.9575
30.29,30.0,30.632,-0.441,-12.808,12.816,0.4272,1.9643
30.291,-30.0,-29.972,0.277,-13.149,13.152,0.4384,1.9517
45.287,30.0,30.581,0.023,-12.356,12.356,0.4119,1.9713
45.288,-30.0,-30.114,-0.334,-13.202,13.206,0.4402,1.9456
60.293,30.0,30.53,0.123,-11.949,11.95,0.3983,1.9776
60.292,-30.0,-30.234,-0.047,-12.87,12.87,0.429,1.9528
75.294,30.0,30.456,-0.021,-11.778,11.778,0.3926,1.9819
75.287,-30.0,-30.3,0.244,-12.33,12.333,0.4111,1.9577
89.709,30.0,30.381,-0.208,-11.913,11.915,0.3972,1.9891
90.292,-30.0,-30.381,0.208,-11.913,11.915,0.3972,1.9655
104.707,30.0,30.304,-0.244,-12.328,12.33,0.411,1.9707
105.288,-30.0,-30.45,0.013,-11.784,11.784,0.3928,1.9469
119.707,30.0,30.234,0.047,-12.87,12.87,0.429,1.9747
120.287,-30.0,-30.521,-0.125,-11.966,11.966,0.3989,1.9503
134.714,30.0,30.114,0.334,-13.202,13.206,0.4402,1.9637
134.707,-30.0,-30.595,-0.023,-12.351,12.351,0.4117,1.9718
149.709,30.0,29.972,-0.277,-13.149,13.152,0.4384,1.9397
149.708,-30.0,-30.648,0.442,-12.802,12.81,0.427,1.9637
164.711,30.0,29.944,-0.004,-13.155,13.155,0.4385,1.9493
164.712,-30.0,-30.737,-0.413,-12.167,12.174,0.4058,1.9559
