start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
99.714,30.0,12.627,385.768,-835.892,920.615,30.6872,1.1168
104.713,30.0,2.07,585.232,-1629.672,1731.568,57.7189,0.3634
108.739,30.0,-87.408,134.886,-24072.953,24073.33,802.4443,-22.2728
-137.392,30.0,-139.997,-582.53,-1191905.06,1191905.203,39730.1734,-11156.5444
-147.441,30.0,-16.386,-791.838,-2867246.915,2867247.024,95574.9008,-43675.271
-36.574,30.0,-36.09,-1335.884,-6186472.438,6186472.582,206215.7527,-99019.3108
