start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
12.691,30.0,133.255,1128.556,-967280.428,967281.086,32242.7029,-1157.2375
39.529,30.0,86.091,498.227,-2351640.622,2351640.675,78388.0225,-25007.748
23.378,30.0,139.401,659.128,-6147802.334,6147802.37,204926.7457,-72998.1027
95.008,30.0,-26.566,1159.668,-11450411.076,11450411.135,381680.3712,-146960.5534
170.887,30.0,44.591,385.01,-6551772.94,6551772.952,218392.4317,-290479.1809
-15.352,30.0,117.848,828.148,-19595099.642,19595099.659,653169.9886,-435594.3645
