start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
99.707,30.0,30.324,-0.631,-11.375,11.393,0.3798,1.9505
99.711,-30.0,-30.417,0.175,-10.935,10.936,0.3645,1.9863
104.711,30.0,30.295,-0.682,-11.573,11.593,0.3864,1.962
104.712,-30.0,-30.442,0.029,-10.92,10.92,0.364,1.9855
109.707,30.0,30.274,-0.693,-11.787,11.807,0.3936,1.9609
109.714,-30.0,-30.466,-0.111,-10.948,10.948,0.3649,1.9833
113.706,30.0,30.255,-0.669,-11.97,11.989,0.3996,1.959
113.713,-30.0,-30.485,-0.212,-11.001,11.003,0.3668,1.9811
119.71,30.0,30.226,-0.577,-12.25,12.264,0.4088,1.9556
119.709,-30.0,-30.525,-0.338,-11.119,11.124,0.3708,1.9787
124.709,30.0,30.207,-0.448,-12.474,12.482,0.4161,1.9532
124.711,-30.0,-30.536,-0.412,-11.263,11.27,0.3757,1.9751
