angle_deg,start_heading_deg,end_heading_deg,max_rate_rps,shape,planned_duration_s,total_duration_s,converged,horizontal_mm,vertical_mm,slide_mm,ekf_heading_error_deg,truth_heading_error_deg,wall_height_m,repetition
30.0,89.33761191382568,119.95703842172887,0.3,trapezoid,1.9453292519943293,2.95,True,-0.20817062037203904,-11.993284271838212,11.995090772157912,-0.5272871335102993,-0.5956210244476529,1.974559971108321,1
-30.0,119.95703842172887,89.18735199132438,0.3,trapezoid,1.9453292519943293,2.95,True,-0.12731262429177548,-12.034706781006266,12.035380168864723,0.6789736354134214,0.7013525394671459,1.9625252643273148,2
45.0,89.18735199132438,134.66368594911444,0.3,trapezoid,2.817993877991494,3.8200000000000003,True,-0.30708334471385434,-18.165945830232566,18.168541165639706,-0.5340148425021286,-0.4539550537363491,1.9443593184970822,1
-45.0,90.46189439666007,44.88343132248575,0.3,trapezoid,2.817993877991494,3.8200000000000003,True,0.30757558774374694,-18.22340691022695,18.22600236359809,0.47222893200895133,0.5024333548543678,1.9896371858972424,2
90.0,44.88343132248575,135.42780518707298,0.3,trapezoid,5.435987755982989,6.44,True,-0.24010493306780845,-36.13777286497455,36.138570503263885,-0.5056569713013936,-0.51416944174181,1.9534994130322678,1
-90.0,135.42780518707298,44.93411069523891,0.3,trapezoid,5.435987755982989,6.44,True,0.24400910567146106,-36.113803740287274,36.11462807555462,0.44917965789184083,0.4851820213936473,1.9173856092919805,2
135.0,89.68829490112614,-134.96229644056407,0.3,trapezoid,8.053981633974482,9.06,True,-0.22182737432818733,-57.512121771330136,57.51254956984874,-0.40921976205874355,-0.3559058525930834,1.9491702973119243,1
-135.0,-134.96229644056407,89.28347505849447,0.3,trapezoid,8.053981633974482,9.06,True,-0.12429580616135638,-53.57423323274535,53.57437741984526,0.8477624954573606,0.8075424104071379,1.895596064079179,2
180.0,89.76472451719496,-89.55857023329152,0.3,trapezoid,10.671975511965977,11.680000000000001,True,0.12981817341994883,-75.5915691922211,75.59168066461083,-0.7720233247492391,-0.6865721725001607,1.9297814232539392,1
-180.0,89.81770577536042,-90.89111993006509,0.3,trapezoid,10.671975511965977,11.680000000000001,True,-0.13447207096772829,-75.60457476469718,75.6046943521932,0.6538428811793269,0.6948898051916925,1.9337745737321537,2
30.0,90.24910284982717,121.18565443258825,0.6,trapezoid,1.2726646259971646,2.2800000000000002,True,-0.21808144133794727,-12.15379989181442,12.15575630412704,-0.8697782892241821,-0.9295846855124587,1.9927619957535196,1
-30.0,121.18565443258825,89.86796896623042,0.6,trapezoid,1.2726646259971646,2.2800000000000002,True,-0.12634945453826596,-12.280894609613124,12.28154455258323,1.279339453477231,1.2578790700695488,1.9804811011439065,2
45.0,89.86796896623042,135.8843787595529,0.6,trapezoid,1.7089969389957471,2.71,True,-0.3013329075314264,-18.443404760747796,18.445866222271476,-0.8799897652137,-1.0378701767301535,1.9620376963831587,1
-45.0,135.8843787595529,89.73974294436441,0.6,trapezoid,1.7089969389957471,2.93,True,-0.04775614600205369,-18.70240297138337,18.70246394338164,0.9656904638142809,0.9867554036720388,1.9433352934117754,2
90.0,89.84859133976333,-179.65062423463658,0.6,trapezoid,3.0179938779914943,4.0200000000000005,True,-0.30663458189428283,-37.959672384678896,37.96091084680355,-0.6025309939719938,-0.6051900719178271,1.9631562760840002,1
-90.0,-179.65062423463658,89.46425360625108,0.6,trapezoid,3.0179938779914943,4.4,True,-0.7210980661844779,-36.4366970315404,36.443831755035305,0.9859493563714223,0.8824630811664869,1.9267195790524598,2
135.0,89.75683520787608,-134.4915908013879,0.6,trapezoid,4.326990816987241,5.33,True,-0.02513017530281214,-57.69354570043461,57.69355117353973,-0.9663942976138603,-0.8225908429554609,1.9470283340290426,1
-135.0,90.26796597887034,-45.48195234621168,0.6,trapezoid,4.326990816987241,5.33,True,0.01571579596149064,-57.700303481294846,57.700305621545624,0.6559282101627357,0.8243027668645828,1.9459289723579776,2
180.0,89.6752458554465,-89.13156527705596,0.6,trapezoid,5.635987755982988,6.640000000000001,True,0.32803117028812334,-75.78924117834518,75.7899510676584,-1.3283697993630792,-1.2331951184872911,1.9296728903467804,1
-180.0,89.74948445882568,-91.34946503882018,0.6,trapezoid,5.635987755982988,6.840000000000001,True,-0.3136983528313486,-76.00095346618096,76.00160086751578,0.969396439451751,0.9520521991430538,1.9306318381721266,2
