start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
99.707,30.0,144.635,217.507,-9608.178,9610.64,320.3547,-7.6627
-176.953,30.0,98.051,-377.927,-2725945.593,2725945.619,90864.854,-25900.1387
-132.582,30.0,-74.935,-618.045,-4826506.933,4826506.973,160883.5658,-70392.0906
-92.302,30.0,-148.27,-540.123,-7444254.245,7444254.265,248141.8088,-145745.058
-29.117,30.0,166.474,-543.942,-6597392.773,6597392.795,219913.0932,-268937.1239
11.669,30.0,-42.19,-632.055,-11669555.371,11669555.388,388985.1796,-391938.3755
